"TypeCode,""FreqCode"",""RefPeriodId"",""RefYear"",""RefMonth"",""Period"",""ReporterCode"",""ReporterISO"",""ReporterDesc"",""FlowCode"",""FlowDesc"",""PartnerCode"",""PartnerISO"",""PartnerDesc"",""Partner2Code"",""Partner2ISO"",""Partner2Desc"",""ClassificationCode"",""ClassificationSearchCode"",""IsOriginalClassification"",""CmdCode"",""CmdDesc"",""AggrLevel"",""IsLeaf"",""CustomsCode"",""CustomsDesc"",""MosCode"",""MotCode"",""MotDesc"",""QtyUnitCode"",""QtyUnitAbbr"",""Qty"",""IsQtyEstimated"",""AltQtyUnitCode"",""AltQtyUnitAbbr"",""AltQty"",""IsAltQtyEstimated"",""NetWgt"",""IsNetWgtEstimated"",""GrossWgt"",""IsGrossWgtEstimated"",""Cifvalue"",""Fobvalue"",""PrimaryValue"",""LegacyEstimationFlag"",""IsReported"",""IsAggregate"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""0"",""W00"",""World"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""76402028259"",""false"",""19"",""BBL"",""480515901"",""false"",""76402028259"",""false"",""0"",""false"",,""31534121190.558"",""31534121190.558"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""152"",""CHL"",""Chile"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""447391974"",""false"",""19"",""BBL"",""2813786"",""false"",""447391974"",""false"",""0"",""false"",,""173542202.956"",""173542202.956"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""156"",""CHN"",""China"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""51794838300"",""false"",""19"",""BBL"",""325753700"",""false"",""51794838300"",""false"",""0"",""false"",,""21412386921.338"",""21412386921.338"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""251"",""FRA"",""France"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1198474902"",""false"",""19"",""BBL"",""7537578"",""false"",""1198474902"",""false"",""0"",""false"",,""526544295.868"",""526544295.868"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""376"",""ISR"",""Israel"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""453690282"",""false"",""19"",""BBL"",""2853398"",""false"",""453690282"",""false"",""0"",""false"",,""161740209.404"",""161740209.404"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""380"",""ITA"",""Italy"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1759288413"",""false"",""19"",""BBL"",""11064707"",""false"",""1759288413"",""false"",""0"",""false"",,""776088140.343"",""776088140.343"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""392"",""JPN"",""Japan"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""143761440"",""false"",""19"",""BBL"",""904160"",""false"",""143761440"",""false"",""0"",""false"",,""55565910.363"",""55565910.363"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""410"",""KOR"",""Rep. of Korea"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""151327137"",""false"",""19"",""BBL"",""951743"",""false"",""151327137"",""false"",""0"",""false"",,""53031642.824"",""53031642.824"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""458"",""MYS"",""Malaysia"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""588188064"",""false"",""19"",""BBL"",""3699296"",""false"",""588188064"",""false"",""0"",""false"",,""267198735.636"",""267198735.636"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""24"",""AGO"",""Angola"",""X"",""Export"",""490"",""S19"",""Other Asia, nes"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""451684020"",""false"",""19"",""BBL"",""2840780"",""false"",""451684020"",""false"",""0"",""false"",,""199242111.228"",""199242111.228"",""0"",""false"",""true"","
